Reference, Quantity, Value, Footprint, Datasheet
C1 ,1,"10uF 16V","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~"
C2 ,1,"470uF, 25V","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","~"
C3 ,1,"100uF, 25V","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","~"
C4 ,1,"100nF","Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm","~"
F1 ,1,"Polyfuse (1.5A rec)","Capacitor_THT:C_Disc_D10.5mm_W5.0mm_P5.00mm","~"
J1 ,1,"POWER IN","TerminalBlock_Philmore:TerminalBlock_Philmore_TB132_1x02_P5.00mm_Horizontal","~"
J10 ,1,"In bit 6","TerminalBlock_Philmore:TerminalBlock_Philmore_TB132_1x02_P5.00mm_Horizontal","~"
J11 ,1,"In bit 7","TerminalBlock_Philmore:TerminalBlock_Philmore_TB132_1x02_P5.00mm_Horizontal","~"
J12 J13 J14 J15 J16 J17 J18 ,7,"NO.COM.NC","TerminalBlock_Philmore:TerminalBlock_Philmore_TB133_1x03_P5.00mm_Horizontal","~"
J2 ,1,"POWER OUT","TerminalBlock_Philmore:TerminalBlock_Philmore_TB132_1x02_P5.00mm_Horizontal","~"
J3 ,1,"USER PORT","ElkIOBoard:20W_IDC_TERM","~"
J4 ,1,"EXP CONN","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","~"
J5 ,1,"DVM","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
J6 ,1,"In bit 2","TerminalBlock_Philmore:TerminalBlock_Philmore_TB132_1x02_P5.00mm_Horizontal","~"
J7 ,1,"In bit 3","TerminalBlock_Philmore:TerminalBlock_Philmore_TB132_1x02_P5.00mm_Horizontal","~"
J8 ,1,"In bit 4","TerminalBlock_Philmore:TerminalBlock_Philmore_TB132_1x02_P5.00mm_Horizontal","~"
J9 ,1,"In bit 5","TerminalBlock_Philmore:TerminalBlock_Philmore_TB132_1x02_P5.00mm_Horizontal","~"
JP1 JP2 JP3 JP4 ,4,"Jumper_3_Bridged12","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
K1 K2 K3 K4 K5 ,5,"SRD-05VDC-SL-C","Relay_THT:Relay_SPDT_SANYOU_SRD_Series_Form_C","http://www.sanyourelay.ca/public/products/pdf/SRD.pdf"
K6 ,1,"FINDER DPDT5V","Relay_THT:Relay_DPDT_Finder_30.22","http://gfinder.findernet.com/assets/Series/354/S30EN.pdf"
LED1 ,1,"STATUS","Display:HDSP-4830","https://docs.broadcom.com/docs/AV02-1798EN"
R1 R2 R3 R4 R5 R6 ,6,"220R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
R7 R8 R9 R10 R11 R12 ,6,"10K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
R13 R14 R15 R16 R17 R18 ,6,"2K2","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
R19 ,1,"130R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
RN1 RN2 ,2,"150R","Resistor_THT:R_Array_SIP6","http://www.vishay.com/docs/31509/csc.pdf"
RV1 ,1,"500R","Potentiometer_THT:Potentiometer_Piher_PT-10-V05_Vertical","~"
U1 ,1,"ULN2003A","Package_DIP:DIP-16_W7.62mm_LongPads","http://www.ti.com/lit/ds/symlink/uln2003a.pdf"
U2 ,1,"LM7805","Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown","http://www.fairchildsemi.com/ds/LM/LM7805.pdf"
U3 ,1,"LM317T","Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown","http://www.ti.com/lit/ds/symlink/lm317.pdf"
U4 ,1,"74LS240","Package_DIP:DIP-20_W7.62mm_LongPads","http://www.ti.com/lit/gpn/sn74LS240"